optimizer,lambda_smooth,lambda_feas,lambda_fit,mean_runtime_ms,mean_final_total_cost,std_final_total_cost,mean_cost_reduction_ratio,mean_feas_violation,robust_score
Bezier,2.0,8.0,0.2,36.336175002361415,1531.3471678686742,190.1048334764582,0.9992797573268715,4.241957016495844,0.718782389104039
BSpline,2.0,8.0,0.2,88.17987500515301,5194.711573239251,2649.0854140591828,0.7977214138631277,16.11330683643618,0.39624005821415476
Bezier,2.0,8.0,0.4,34.712649994617095,1516.203639421441,45.011147238191946,0.9991567806690205,4.33224245880707,0.758949240005733
BSpline,2.0,8.0,0.4,86.11527499670046,4134.235967506292,1949.9982037768318,0.832075167247097,15.398222648854425,0.5110185433565901
Bezier,4.0,0.5,0.05,37.03137500269804,514.429955521571,265.48627801819987,0.9997891435249064,12.629591744584204,0.6250959619081002
BSpline,4.0,0.5,0.05,87.66192500115721,341.59275391563176,191.6244058310588,0.9095368591658894,15.041697389328686,0.6899191199147547
Bezier,4.0,0.5,0.1,37.03749999476713,651.1905063454075,235.18625208605582,0.9996283141136642,15.012975924478344,0.5339334143357052
BSpline,4.0,0.5,0.1,89.57592499064049,348.0821382206746,364.34323032506006,0.8856828311061271,11.776506173157324,0.6834930652755452
Bezier,4.0,0.5,0.2,37.460850002389634,339.2094470923595,138.54688732911416,0.9998774236439487,9.611620544987133,0.7476518986925081
BSpline,4.0,0.5,0.2,87.85827499741572,338.55608054275103,140.47539468318513,0.8237758385032777,14.3455383183552,0.5261362975464603
Bezier,4.0,0.5,0.4,36.86445000130334,733.8061417173637,349.4390075621326,0.9996970200336606,16.72749464054437,0.48312143543707864
BSpline,4.0,0.5,0.4,86.6050999975414,495.77634376028425,441.31608399249575,0.8445331521262283,15.560760873087776,0.5523454895089714
Bezier,4.0,1.0,0.05,36.04089999498683,553.863655488582,226.23055820360761,0.9996779726909432,8.39553608590692,0.7259900039096874
BSpline,4.0,1.0,0.05,84.07612500013784,253.0746046462674,121.45748741725627,0.909790310960207,10.718210350994507,0.8091105227732523
Bezier,4.0,1.0,0.1,35.704575006093364,673.0743532121936,113.69023140767258,0.9997692672358549,9.584223782084281,0.7626441795292883
BSpline,4.0,1.0,0.1,86.55909999652067,693.8715390604068,329.9509845505328,0.8989795822545408,16.625328285387237,0.645753979776222
Bezier,4.0,1.0,0.2,36.621250001189765,554.3445937482363,124.74914629816935,0.999820934845018,8.667517887676444,0.7758813837182825
BSpline,4.0,1.0,0.2,87.29245000358787,495.80772825879694,324.2974457229671,0.919205101853181,13.696669693932986,0.7372742323266004
Bezier,4.0,1.0,0.4,35.505424999428215,924.9327218039213,255.7451576184311,0.9996418646629376,11.954463859405568,0.6353919503230784
BSpline,4.0,1.0,0.4,84.81269999901997,476.0033794233784,402.222414429129,0.9232676464710703,12.68171223069647,0.7874326246725991
Bezier,4.0,2.0,0.05,36.15462500602007,826.4968847454302,180.11322531657174,0.9996496543387415,6.7165844158011225,0.7685482465323813
BSpline,4.0,2.0,0.05,85.38242500071647,604.6135669999552,204.32884989346016,0.9210733284294088,12.581409937847178,0.7825852846671679
Bezier,4.0,2.0,0.1,40.062799998850096,591.4753276908791,115.5184377802388,0.9998376952027381,5.08977682158815,0.7950151048945959
