trial,optimizer,runtime_ms,iterations,eval_count,initial_total_cost,final_total_cost,cost_reduction_ratio,smoothness_cost,feasibility_cost,fitness_cost,max_vel_violation,max_acc_violation,converged
18,BSpline,134.24919999670237,220,238,2689.6865444693167,231.8697294073874,0.9137930291973351,13.300334350398469,210.40756749498118,40.80913781003885,2.613737631488318,10.406597314456421,0.0
19,Bezier,54.319399991072714,220,244,502200.71568825515,190.11532069584456,0.9996214355839073,1.280774110305524,180.9403120586039,39.471172634675774,4.006900410978988,0.8054022818491804,0.0
19,BSpline,137.18200000585057,220,235,2853.227642062178,774.9850060394763,0.7283830443057976,24.010584359552947,731.139525081814,99.17448299054693,4.432130630031989,18.867312004173034,0.0
20,Bezier,64.96260000858456,220,238,2048131.8327751223,207.21114458694836,0.9998988291958207,1.9204974025160413,197.7159942614066,37.87326461512865,4.299462994066504,1.5277373900781095,0.0
20,BSpline,143.9548000053037,220,245,7545.726460033647,339.46307623081117,0.9550125388153419,14.275816440150775,311.0433972129259,70.71931288867239,3.0220172706003465,14.838416691511199,0.0
21,Bezier,51.41290000756271,220,234,1198883.181858349,214.38564117138782,0.9998211788734587,2.033836235460528,205.74375999333202,33.040224712976254,4.664242970819404,1.7276377139669785,0.0
21,BSpline,136.74829999217764,220,244,4312.7552942645025,406.32074095943904,0.9057862750757499,15.46602058556984,370.7619109278122,100.46404723028499,3.2875617069880674,15.597115081190399,0.0
22,Bezier,51.56100000021979,220,232,557092.5875119524,189.03383799668663,0.9996606778797024,1.329194432363119,181.29558997397572,32.04526795173886,4.357852543400208,1.0743956291542673,0.0
22,BSpline,133.68159999663476,220,246,2231.1025589475394,150.85158975427913,0.9323869764976472,9.122530043753976,132.98023813102205,43.74410789751545,1.1672717557151868,8.693941574173095,0.0
23,Bezier,52.04319999029394,220,234,1075112.4347421166,212.74461562240612,0.999802118728472,1.4969932076739842,203.5572507808452,38.45185816943449,4.506789309956231,1.1285184312455527,0.0
23,BSpline,130.55610000446904,220,231,6421.214426176035,515.08835313929,0.9197833433128263,20.19417323568398,475.5594357099978,96.67372096804128,3.908933116161325,17.372461964542563,0.0
24,Bezier,53.558500003418885,220,242,698768.1129293729,206.920854898684,0.999703877651155,2.1211355809673695,199.76105291376248,25.19333201977083,4.597475285023232,1.6911557974607003,0.0
24,BSpline,136.6928000061307,220,242,4601.5612848417695,1119.6194606783706,0.7566870478577424,34.27017153016817,1045.5657884319053,198.91750358148562,5.07127413027815,17.42813016814166,0.0
25,Bezier,55.9034000034444,220,233,444146.2624097439,190.16200143225566,0.9995718482456646,1.0521413708811451,183.33076447126913,28.895477950526924,4.1088302313960945,0.8930268653562061,0.0
25,BSpline,144.23119999992196,220,242,1932.0284141614002,570.6646961149718,0.7046292425452398,18.737359190533066,532.1622270303507,98.82554947044004,4.546065212319021,15.927533259687003,0.0
26,Bezier,52.295400004368275,220,237,648951.3958259223,185.3294661595744,0.9997144170313037,1.0453842655877956,177.38679152556998,34.48645184208323,4.276296869925418,0.4997289405366212,0.0
26,BSpline,133.69109999621287,220,238,7274.2923864366485,357.22181008452907,0.950892569186442,15.068961932766257,329.28507223326426,64.3388795924929,2.690538942748187,13.891335754790742,0.0
27,Bezier,54.16430000332184,220,243,459392.92264658376,207.129297057204,0.9995491238831805,2.123673662801124,199.99496727453496,25.053280599339793,4.503470333702667,1.677934369247704,0.0
27,BSpline,129.45210000907537,220,238,2292.857152523165,679.7054732604204,0.7035552465567071,18.699858855521192,643.2716246786399,88.66994863129668,5.351704711932598,18.229360401440083,0.0
